lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	68.5	0	2:24:17.673070	1:51:13.879826	68.34	0.5366
0.01	0.1	0.001	300	200	64	0.0001	0.9	0.0005	67.98	0	2:24:02.062966	1:50:17.504447	67.81	0.5473
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	68.05	0	2:20:07.744859	1:46:35.443859	67.68	0.5405
0.01	0.1	0.1	300	200	64	0.0001	0.9	0.0005	68.17	0	2:21:49.459526	1:48:39.645135	67.85	0.5375
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	68.34	0	2:24:23.725208	1:51:00.348671	67.68	0.448
0.01	0.1	0.6	300	200	64	0.0001	0.9	0.0005	68.43	0	2:22:56.001011	1:48:55.670174	68.28	0.5014
0.01	0.4	0.0001	300	200	64	0.0001	0.9	0.0005	69.23	1152	2:26:53.813937	1:52:54.452389	69.13	0.8361
0.01	0.4	0.001	300	200	64	0.0001	0.9	0.0005	68.57	288	2:26:21.346834	1:52:38.505564	68.32	0.8369
0.01	0.4	0.01	300	200	64	0.0001	0.9	0.0005	68.74	576	2:25:57.200967	1:52:25.283873	68.19	0.8442
0.01	0.4	0.1	300	200	64	0.0001	0.9	0.0005	68.61	576	2:26:09.084381	1:52:21.626885	68.17	0.8183
0.01	0.4	0.3	300	200	64	0.0001	0.9	0.0005	68.34	0	2:25:53.111579	1:52:11.555732	67.81	0.6438
0.01	0.4	0.6	300	200	64	0.0001	0.9	0.0005	68.74	0	2:26:19.738109	1:52:34.234057	68.18	0.7918
0.01	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	68.28	67392	2:18:09.798916	1:45:59.436243	67.44	1.0606
0.01	0.7	0.001	300	200	64	0.0001	0.9	0.0005	68.14	63072	2:18:05.443818	1:45:57.448475	67.15	1.0568
0.01	0.7	0.01	300	200	64	0.0001	0.9	0.0005	68.11	43488	2:18:06.530708	1:46:03.323751	67.2	1.0538
0.01	0.7	0.1	300	200	64	0.0001	0.9	0.0005	69.02	19008	2:18:18.498825	1:45:56.787032	67.82	0.9983
