lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.01	0.7	0.3	300	200	64	0.0001	0.9	0.0005	68.53	4320	2:19:48.147797	1:47:43.773483	68.44	0.769
0.01	0.7	0.6	300	200	64	0.0001	0.9	0.0005	68.81	15552	2:24:57.468403	1:52:50.699000	68.47	0.9621
0.01	1.0	0.0001	300	200	64	0.0001	0.9	0.0005	67.55	88416	2:17:49.495342	1:45:48.579710	66.08	1.199
0.01	1.0	0.001	300	200	64	0.0001	0.9	0.0005	67.02	92160	2:17:53.074409	1:45:51.677610	65.52	1.1926
0.01	1.0	0.01	300	200	64	0.0001	0.9	0.0005	66.72	97056	2:19:03.013647	1:46:48.100487	66.08	1.2113
0.01	1.0	0.1	300	200	64	0.0001	0.9	0.0005	66.71	98640	2:21:21.336656	1:47:53.565425	65.34	1.2031
0.01	1.0	0.3	300	200	64	0.0001	0.9	0.0005	68.41	63360	2:17:48.484160	1:45:51.396145	67.66	0.935
0.01	1.0	0.6	300	200	64	0.0001	0.9	0.0005	67.87	90000	2:17:57.954441	1:45:57.456237	66.9	1.1556
0.01	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	64.63	142299	2:21:13.964371	1:48:04.241976	63.29	1.3596
0.01	1.3	0.001	300	200	64	0.0001	0.9	0.0005	65.39	140256	2:17:49.057942	1:45:48.941925	63.61	1.3444
0.01	1.3	0.01	300	200	64	0.0001	0.9	0.0005	65.74	133344	2:18:21.706280	1:46:21.602531	64.1	1.3507
0.01	1.3	0.1	300	200	64	0.0001	0.9	0.0005	65.58	127440	2:18:07.291017	1:45:54.234833	63.89	1.3256
0.01	1.3	0.3	300	200	64	0.0001	0.9	0.0005	67.82	79776	2:17:45.539598	1:45:45.291200	67.5	1.0176
0.01	1.3	0.6	300	200	64	0.0001	0.9	0.0005	65.5	142992	2:18:05.104722	1:45:54.953963	63.88	1.296
0.01	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	65.36	152955	2:18:00.195281	1:46:02.850336	63.31	1.4274
0.01	1.6	0.001	300	200	64	0.0001	0.9	0.0005	64.09	158283	2:18:04.562650	1:45:54.412848	62.3	1.4314
0.01	1.6	0.01	300	200	64	0.0001	0.9	0.0005	65.23	149931	2:18:12.178656	1:46:05.018277	63.26	1.4219
0.01	1.6	0.1	300	200	64	0.0001	0.9	0.0005	64.01	153072	2:17:57.982696	1:45:50.798040	62.78	1.4136
0.01	1.6	0.3	300	200	64	0.0001	0.9	0.0005	67.24	88272	2:18:06.653885	1:46:06.604516	66.3	1.0911
0.01	1.6	0.6	300	200	64	0.0001	0.9	0.0005	64.76	147744	2:18:11.215198	1:46:00.424040	62.74	1.3655
0.01	1.9	0.0001	300	200	64	0.0001	0.9	0.0005	63.57	164592	2:18:02.708743	1:45:55.673449	60.77	1.5202
0.01	1.9	0.001	300	200	64	0.0001	0.9	0.0005	63.48	161136	2:17:55.580094	1:45:58.483681	60.6	1.5058
0.01	1.9	0.01	300	200	64	0.0001	0.9	0.0005	62.89	164736	2:17:51.503383	1:45:48.745185	60.85	1.5173
0.01	1.9	0.1	300	200	64	0.0001	0.9	0.0005	63.47	164880	2:18:08.390033	1:46:08.957173	61.52	1.4879
0.01	1.9	0.3	300	200	64	0.0001	0.9	0.0005	67.57	99792	2:18:09.292411	1:46:08.150305	66.02	1.1875
0.01	1.9	0.6	300	200	64	0.0001	0.9	0.0005	65.02	156987	2:18:24.470164	1:46:09.781532	62.26	1.4329
0.1	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	68.58	14220	2:19:36.103464	1:47:30.404794	67.58	0.7871
0.1	0.1	0.001	300	200	64	0.0001	0.9	0.0005	68.31	13671	2:22:07.199225	1:49:28.884962	66.97	0.8142
0.1	0.1	0.01	300	200	64	0.0001	0.9	0.0005	69.54	11025	2:20:22.578432	1:47:20.873510	68.45	0.7873
0.1	0.1	0.1	300	200	64	0.0001	0.9	0.0005	68.8	14913	2:21:35.507497	1:48:31.136326	67.86	0.7883
0.1	0.1	0.3	300	200	64	0.0001	0.9	0.0005	68.96	9783	2:22:23.560706	1:49:35.760529	68.18	0.6764
0.1	0.1	0.6	300	200	64	0.0001	0.9	0.0005	68.26	12897	2:18:53.795004	1:45:40.735833	67.31	0.739
0.1	0.4	0.0001	300	200	64	0.0001	0.9	0.0005	62.65	168588	2:18:36.316883	1:46:36.108493	60.55	1.4444
0.1	0.4	0.001	300	200	64	0.0001	0.9	0.0005	63.19	169569	2:19:34.837569	1:47:32.879499	60.29	1.4735
0.1	0.4	0.01	300	200	64	0.0001	0.9	0.0005	64.55	128790	2:18:44.556714	1:46:34.806848	61.28	1.4189
0.1	0.4	0.1	300	200	64	0.0001	0.9	0.0005	64.94	122508	2:20:22.116932	1:48:16.484194	60.36	1.4284
0.1	0.4	0.3	300	200	64	0.0001	0.9	0.0005	67.26	90279	2:19:23.719714	1:47:08.581895	64.9	1.1624
0.1	0.4	0.6	300	200	64	0.0001	0.9	0.0005	65.11	123660	2:21:06.467720	1:48:12.485868	61.96	1.3411
0.1	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	53.6	214524	2:22:20.415963	1:50:10.270600	50.04	1.9194
0.1	0.7	0.001	300	200	64	0.0001	0.9	0.0005	55.98	202743	2:25:05.407152	1:51:19.966662	51.74	1.8348
0.1	0.7	0.01	300	200	64	0.0001	0.9	0.0005	58.78	191457	2:22:22.853862	1:48:51.877945	53.56	1.7582
0.1	0.7	0.1	300	200	64	0.0001	0.9	0.0005	56.65	196299	2:21:13.875975	1:48:43.765802	52.9	1.8087
0.1	0.7	0.3	300	200	64	0.0001	0.9	0.0005	62.42	173169	2:18:47.969597	1:46:30.326943	58.22	1.5062
0.1	0.7	0.6	300	200	64	0.0001	0.9	0.0005	60.91	184545	2:18:28.419944	1:46:18.419696	57.09	1.6333
0.1	1.0	0.0001	300	200	64	0.0001	0.9	0.0005	50.46	218358	2:19:14.097733	1:47:06.898353	44.71	2.1267
0.1	1.0	0.001	300	200	64	0.0001	0.9	0.0005	44.73	240534	2:20:18.238009	1:46:36.466480	43.59	2.189
0.1	1.0	0.01	300	200	64	0.0001	0.9	0.0005	47.39	237879	2:20:40.479706	1:48:36.575091	44.11	2.1296
0.1	1.0	0.1	300	200	64	0.0001	0.9	0.0005	50.85	223425	2:19:30.724940	1:46:56.708885	45.34	2.0368
0.1	1.0	0.3	300	200	64	0.0001	0.9	0.0005	58.93	191142	2:22:48.621077	1:49:26.825868	54.93	1.7265
0.1	1.0	0.6	300	200	64	0.0001	0.9	0.0005	45.39	237852	2:23:21.657767	1:49:28.811554	43.98	2.1499
0.1	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	43.13	244908	2:22:54.877331	1:49:06.995297	37.95	2.3768
0.1	1.3	0.001	300	200	64	0.0001	0.9	0.0005	40.08	247986	2:22:26.829722	1:49:28.571401	35.64	2.4215
0.1	1.3	0.01	300	200	64	0.0001	0.9	0.0005	45.01	239202	2:23:28.805577	1:51:22.901590	41.68	2.3171
0.1	1.3	0.1	300	200	64	0.0001	0.9	0.0005	45.43	239580	2:23:27.150063	1:49:38.791140	41.48	2.2984
0.1	1.3	0.3	300	200	64	0.0001	0.9	0.0005	56.29	204993	2:21:14.031130	1:48:32.358897	49.98	1.8981
0.1	1.3	0.6	300	200	64	0.0001	0.9	0.0005	35.12	250956	2:23:10.875450	1:50:20.046810	35.81	2.468
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	38.72	251676	2:23:45.175250	1:50:13.182611	32.85	2.5343
0.1	1.6	0.001	300	200	64	0.0001	0.9	0.0005	40.56	248877	2:23:39.570030	1:51:18.333981	33.84	2.4785
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	32.97	256599	2:22:19.577004	1:48:44.036544	29.91	2.7329
0.1	1.6	0.1	300	200	64	0.0001	0.9	0.0005	37.35	250866	2:19:16.598345	1:46:28.284751	35.18	2.5238
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	48.9	226332	2:22:12.789782	1:49:34.237790	42.55	2.2048
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	39.45	248535	2:20:05.094560	1:47:52.969696	34.03	2.487
0.1	1.9	0.0001	300	200	64	0.0001	0.9	0.0005	32.94	252945	2:19:32.462409	1:47:17.785315	30.0	2.8004
0.1	1.9	0.001	300	200	64	0.0001	0.9	0.0005	27.87	258390	2:22:34.053069	1:50:28.662679	26.0	2.9934
0.1	1.9	0.01	300	200	64	0.0001	0.9	0.0005	32.91	253404	2:20:01.191883	1:46:57.816398	27.39	2.7495
0.1	1.9	0.1	300	200	64	0.0001	0.9	0.0005	35.04	250011	2:22:11.689622	1:48:36.636070	31.17	2.7382
0.1	1.9	0.3	300	200	64	0.0001	0.9	0.0005	44.89	240012	2:24:22.900487	1:50:46.078842	40.49	2.2696
0.1	1.9	0.6	300	200	64	0.0001	0.9	0.0005	35.01	253980	2:20:39.469636	1:48:30.112521	33.13	2.6228
