Input_features	Output_features	Pruned_entities	Unpruned_entities
3	16	0	16
16	16	0	16
16	16	0	16
16	16	0	16
16	16	0	16
16	16	0	16
16	16	0	16
16	32	0	32
32	32	1	31
32	32	0	32
32	32	3	29
32	32	0	32
32	32	3	29
32	64	0	64
64	64	0	64
64	64	3	61
64	64	11	53
64	64	3	61
64	64	7	57
