lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	61.51	168444	2:23:19.889096	1:50:06.155177	56.7	2.8336
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	36.54	253656	2:26:32.794253	1:52:49.506255	33.8	2.5411
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.61	31329	2:21:56.999371	1:48:48.999279	67.13	0.6175
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.01	61.33	166716	2:23:42.643831	1:50:26.286767	55.58	2.8107
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.33	41.59	248508	2:21:52.080615	1:49:31.453324	37.16	2.4503
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	100.0	68.37	10881	2:21:40.999730	1:48:40.527181	67.72	0.7357
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.01	61.55	167841	2:23:55.879768	1:50:20.544190	55.83	2.4464
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.33	45.81	238950	2:22:04.109629	1:49:31.488412	40.4	2.2458
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	100.0	56.17	202977	2:22:18.480169	1:49:08.756132	52.11	1.8091
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.01	61.61	167382	2:23:23.917564	1:50:07.331554	55.88	1.929
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.33	45.38	242370	2:26:04.896436	1:52:16.521187	42.11	2.2183
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	100.0	41.03	248076	2:21:46.648772	1:48:41.938474	32.71	2.4044
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	67.98	0	2:23:32.853515	1:50:22.285638	67.78	0.5295
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	68.31	0	2:25:40.500480	1:52:00.415048	68.05	0.523
0.01	0.1	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.47	1152	2:22:11.494539	1:48:50.878352	67.26	0.3875
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.01	68.56	0	2:23:39.646477	1:50:19.225450	67.91	0.5387
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	0.33	68.14	0	2:20:55.204017	1:48:37.237589	67.65	0.5219
0.01	0.1	0.01	300	200	64	0.0001	0.9	0.0005	100.0	67.96	0	2:22:00.201417	1:48:46.900292	67.51	0.3893
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.01	68.33	0	2:23:20.964985	1:50:07.367393	67.93	0.507
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	0.33	67.31	0	2:25:51.403294	1:52:02.688286	67.05	0.5045
0.01	0.1	0.3	300	200	64	0.0001	0.9	0.0005	100.0	67.14	0	2:22:01.452419	1:48:48.184251	66.87	0.4487
0.01	0.1	0.6	300	200	64	0.0001	0.9	0.0005	0.01	67.81	0	2:23:42.650048	1:50:21.313661	67.65	0.4685
0.01	0.1	0.6	300	200	64	0.0001	0.9	0.0005	0.33	68.22	0	2:21:05.581507	1:48:42.026790	67.79	0.4758
0.01	0.1	0.6	300	200	64	0.0001	0.9	0.0005	100.0	68.24	0	2:21:56.831524	1:48:53.079477	68.12	0.4951
0.01	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	68.59	0	2:23:48.162322	1:50:19.098212	68.4	1.2865
0.01	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	68.66	37152	2:22:13.999675	1:49:43.384922	67.67	1.0239
0.01	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.22	1872	2:21:43.957387	1:48:32.860934	66.38	0.4092
0.01	0.7	0.01	300	200	64	0.0001	0.9	0.0005	0.01	68.89	0	2:23:30.313980	1:50:10.614175	68.45	1.2777
0.01	0.7	0.01	300	200	64	0.0001	0.9	0.0005	0.33	68.35	35712	2:21:08.219832	1:48:45.418311	67.56	1.0122
0.01	0.7	0.01	300	200	64	0.0001	0.9	0.0005	100.0	67.4	0	2:21:57.265952	1:48:47.853551	66.72	0.4447
0.01	0.7	0.3	300	200	64	0.0001	0.9	0.0005	0.01	69.97	0	2:23:27.106111	1:50:14.912142	69.51	1.0799
0.01	0.7	0.3	300	200	64	0.0001	0.9	0.0005	0.33	68.63	6624	2:25:49.015548	1:52:13.937769	68.2	0.9144
0.01	0.7	0.3	300	200	64	0.0001	0.9	0.0005	100.0	68.59	0	2:21:36.678720	1:48:30.225418	68.33	0.7262
0.01	0.7	0.6	300	200	64	0.0001	0.9	0.0005	0.01	68.71	0	2:23:57.982594	1:50:24.149171	68.83	0.8635
0.01	0.7	0.6	300	200	64	0.0001	0.9	0.0005	0.33	68.73	1152	2:21:06.895191	1:48:51.283493	68.28	0.8378
0.01	0.7	0.6	300	200	64	0.0001	0.9	0.0005	100.0	68.82	12960	2:22:11.930948	1:49:09.625048	68.37	0.9669
0.01	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	0.01	69.27	0	2:24:38.145525	1:50:29.326404	68.93	1.957
0.01	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	0.33	64.79	143280	2:22:36.527938	1:49:42.044257	63.59	1.3198
0.01	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	100.0	67.58	864	2:22:00.121856	1:48:53.926821	67.32	0.4036
0.01	1.3	0.01	300	200	64	0.0001	0.9	0.0005	0.01	69.33	0	2:23:17.063914	1:50:00.372953	69.21	1.947
0.01	1.3	0.01	300	200	64	0.0001	0.9	0.0005	0.33	65.68	143568	2:26:25.516387	1:52:26.686709	63.68	1.3166
0.01	1.3	0.01	300	200	64	0.0001	0.9	0.0005	100.0	68.04	0	2:21:57.749009	1:48:45.112758	68.07	0.4863
0.01	1.3	0.3	300	200	64	0.0001	0.9	0.0005	0.01	69.23	0	2:23:44.475173	1:50:16.051361	68.88	1.5785
0.01	1.3	0.3	300	200	64	0.0001	0.9	0.0005	0.33	66.17	112752	2:22:05.433123	1:49:45.541449	65.05	1.2265
0.01	1.3	0.3	300	200	64	0.0001	0.9	0.0005	100.0	69.4	2592	2:21:58.287320	1:48:54.036493	68.7	0.89
0.01	1.3	0.6	300	200	64	0.0001	0.9	0.0005	0.01	69.18	0	2:23:31.472237	1:50:15.745961	68.68	1.1859
0.01	1.3	0.6	300	200	64	0.0001	0.9	0.0005	0.33	67.48	78912	2:25:48.516586	1:52:08.125551	67.17	1.0839
